ADP,Overall,Name,Position,Team,Times Drafted,Bye,Rank,Tier
1.03,2.7,Eddie Lacy,RB,GB,379,7,1,1
1.09,9.5,Julio Jones,WR,ATL,511,10,1,1
2.03,15.4,Andrew Luck,QB,IND,473,10,1,1
2.03,15.2,Rob Gronkowski,TE,NE,520,4,1,1
9.11,107.1,Houston Defense,DEF,HOU,136,9,1,1
1.04,3.6,Jamaal Charles,RB,KC,431,9,2,1
1.11,11.5,Demaryius Thomas,WR,DEN,510,7,2,1
2.1,21.6,Aaron Rodgers,QB,GB,392,7,2,1
3.07,31.1,Jimmy Graham,TE,SEA,401,9,2,2
8.12,95.6,Seattle Defense,DEF,SEA,183,9,2,1
1.03,3.1,LeVeon Bell,RB,PIT,558,11,3,1
1.08,8.4,Dez Bryant,WR,DAL,475,6,3,1
4.05,41,Peyton Manning,QB,DEN,312,7,3,2
5.09,57.5,Greg Olsen,TE,CAR,333,5,3,2
10.04,112.2,Buffalo Defense,DEF,BUF,144,8,3,2
1.02,1.7,Adrian Peterson,RB,MIN,422,5,4,1
1.06,5.6,Antonio Brown,WR,PIT,461,11,4,1
5.05,53.3,Ben Roethlisberger,QB,PIT,351,11,4,2
5.06,54,Travis Kelce,TE,KC,340,9,4,2
11.04,123.8,Miami Defense,DEF,MIA,137,5,4,2
1.06,5.8,Marshawn Lynch,RB,SEA,552,9,5,1
2.02,14.4,Odell Beckham Jr,WR,NYG,533,11,5,2
5.08,55.8,Drew Brees,QB,NO,383,11,5,2
6.1,69.9,Martellus Bennett,TE,CHI,220,7,5,3
13.02,145.7,Philadelphia Defense,DEF,PHI,116,8,5,3
1.08,8.3,CJ Anderson,RB,DEN,440,7,6,2
2.03,15,Calvin Johnson,WR,DET,548,9,6,2
5.04,51.8,Russell Wilson,QB,SEA,309,9,6,3
7.09,80.6,Julius Thomas,TE,JAC,179,8,6,3
12.12,143.6,Arizona Defense,DEF,ARI,139,9,6,3
1.12,11.8,Matt Forte,RB,CHI,485,7,7,2
2.06,18.4,Randall Cobb,WR,GB,572,7,7,2
7.04,76.5,Tony Romo,QB,DAL,333,6,7,3
8.04,88.4,Jordan Cameron,TE,MIA,197,5,7,3
11.09,128.8,NY Jets Defense,DEF,NYJ,88,5,7,3
1.1,9.8,Jeremy Hill,RB,CIN,483,7,8,2
2.07,18.7,A.J. Green,WR,CIN,510,7,8,2
6.09,69.4,Matt Ryan,QB,ATL,277,10,8,3
8.02,85.7,Owen Daniels,TE,DEN,187,7,8,4
11.04,124,St. Louis Defense,DEF,STL,109,6,8,3
2.02,13.7,DeMarco Murray,RB,PHI,493,8,9,2
2.12,23.5,T.Y. Hilton,WR,IND,462,10,9,2
7.08,79.8,Tom Brady,QB,NE,323,4,9,4
10.05,113.3,Delanie Walker,TE,TEN,264,4,9,4
12.07,138.6,Denver Defense,DEF,DEN,120,7,9,4
2.06,18.4,LeSean McCoy,RB,BUF,471,8,10,2
3.01,25.3,Alshon Jeffery,WR,CHI,475,7,10,2
8.03,86.7,Matthew Stafford,QB,DET,260,9,10,4
10.07,114.7,Tyler Eifert,TE,CIN,305,7,10,4
14.01,156.8,Kansas City Defense,DEF,KC,164,9,10,4
2.12,24.4,Lamar Miller,RB,MIA,448,5,11,3
3.07,31.3,Jordan Matthews,WR,PHI,516,8,11,3
8.1,94.3,Eli Manning,QB,NYG,358,11,11,4
9.04,99.7,Jason Witten,TE,DAL,191,6,11,5
